38.45,38.43,38.39,38.4,38.4,38.34,38.36,38.38,38.35,38.41
38.44,38.45,38.48,38.44,38.37,38.39,38.43,38.41,38.4,38.39
38.37,38.37,38.41,38.42,38.39,38.33,38.4,38.33,38.4,38.39
38.46,38.44,38.39,38.41,38.36,38.35,38.38,38.39,38.45,38.39
38.39,38.45,38.44,38.41,38.43,38.37,38.37,38.41,38.41,38.43
38.42,38.44,38.39,38.39,38.44,38.46,38.4,38.44,38.43,38.45
38.46,38.47,38.45,38.46,38.39,38.44,38.34,38.42,38.44,38.47
38.39,38.22,38.44,38.44,38.45,38.4,38.41,38.43,38.44,38.49
38.42,38.46,38.44,38.43,38.37,38.36,38.41,38.46,38.45,38.44
38.36,38.35,38.41,38.43,38.43,38.39,38.37,38.43,38.4,38.47
